condition,task,method_index,method,guards,step_index,action,microactions,completion_type,groundable_from_hyp_bindings,example_grounding,hyp_ticks_true_sum
s00_off,deliver_item,0,deliver_already_held,"holding('?agent', '?item')",0,move_to,STEP*,ConditionSchema,grounded,"at(human_0, kitting_table_0)",170
s00_off,deliver_item,0,deliver_already_held,"holding('?agent', '?item')",1,place,['RELEASE'],ConditionSchema,grounded,"obj_at(item_3, kitting_table_0)",335
s00_off,deliver_item,1,deliver_with_return,"holding('?agent', '?other'); not_equal('?other', '?item')",0,move_to,STEP*,ConditionSchema,unbound:?target,,0
s00_off,deliver_item,1,deliver_with_return,"holding('?agent', '?other'); not_equal('?other', '?item')",1,place,['RELEASE'],ConditionSchema,unbound:?target,,0
s00_off,deliver_item,1,deliver_with_return,"holding('?agent', '?other'); not_equal('?other', '?item')",2,move_to,STEP*,ConditionSchema,grounded,"at(human_0, item_3)",129
s00_off,deliver_item,1,deliver_with_return,"holding('?agent', '?other'); not_equal('?other', '?item')",3,pick_up,['GRASP'],ConditionSchema,grounded,"holding(human_0, item_3)",68
s00_off,deliver_item,1,deliver_with_return,"holding('?agent', '?other'); not_equal('?other', '?item')",4,move_to,STEP*,ConditionSchema,grounded,"at(human_0, kitting_table_0)",170
s00_off,deliver_item,1,deliver_with_return,"holding('?agent', '?other'); not_equal('?other', '?item')",5,place,['RELEASE'],ConditionSchema,grounded,"obj_at(item_3, kitting_table_0)",335
s00_off,deliver_item,2,deliver_default,-,0,move_to,STEP*,ConditionSchema,grounded,"at(human_0, item_3)",129
s00_off,deliver_item,2,deliver_default,-,1,pick_up,['GRASP'],ConditionSchema,grounded,"holding(human_0, item_3)",68
s00_off,deliver_item,2,deliver_default,-,2,move_to,STEP*,ConditionSchema,grounded,"at(human_0, kitting_table_0)",170
s00_off,deliver_item,2,deliver_default,-,3,place,['RELEASE'],ConditionSchema,grounded,"obj_at(item_3, kitting_table_0)",335
s10_off,deliver_item,0,deliver_already_held,"holding('?agent', '?item')",0,move_to,STEP*,ConditionSchema,grounded,"at(human_0, kitting_table_0)",40
s10_off,deliver_item,0,deliver_already_held,"holding('?agent', '?item')",1,place,['RELEASE'],ConditionSchema,grounded,"obj_at(item_0, kitting_table_0)",418
s10_off,deliver_item,1,deliver_with_return,"holding('?agent', '?other'); not_equal('?other', '?item')",0,move_to,STEP*,ConditionSchema,unbound:?target,,0
s10_off,deliver_item,1,deliver_with_return,"holding('?agent', '?other'); not_equal('?other', '?item')",1,place,['RELEASE'],ConditionSchema,unbound:?target,,0
s10_off,deliver_item,1,deliver_with_return,"holding('?agent', '?other'); not_equal('?other', '?item')",2,move_to,STEP*,ConditionSchema,grounded,"at(human_0, item_0)",7
s10_off,deliver_item,1,deliver_with_return,"holding('?agent', '?other'); not_equal('?other', '?item')",3,pick_up,['GRASP'],ConditionSchema,grounded,"holding(human_0, item_0)",45
s10_off,deliver_item,1,deliver_with_return,"holding('?agent', '?other'); not_equal('?other', '?item')",4,move_to,STEP*,ConditionSchema,grounded,"at(human_0, kitting_table_0)",40
s10_off,deliver_item,1,deliver_with_return,"holding('?agent', '?other'); not_equal('?other', '?item')",5,place,['RELEASE'],ConditionSchema,grounded,"obj_at(item_0, kitting_table_0)",418
s10_off,deliver_item,2,deliver_default,-,0,move_to,STEP*,ConditionSchema,grounded,"at(human_0, item_0)",7
s10_off,deliver_item,2,deliver_default,-,1,pick_up,['GRASP'],ConditionSchema,grounded,"holding(human_0, item_0)",45
s10_off,deliver_item,2,deliver_default,-,2,move_to,STEP*,ConditionSchema,grounded,"at(human_0, kitting_table_0)",40
s10_off,deliver_item,2,deliver_default,-,3,place,['RELEASE'],ConditionSchema,grounded,"obj_at(item_0, kitting_table_0)",418
s10_off,coffee_break,0,coffee_break_default,-,0,move_to,STEP*,ConditionSchema,grounded,"at(human_0, coffee_machine_0)",34
s10_off,coffee_break,0,coffee_break_default,-,1,wait_at,STAND*,ProcessCompletion,process_completion,,0
s20_off,deliver_item,0,deliver_already_held,"holding('?agent', '?item')",0,move_to,STEP*,ConditionSchema,grounded,"at(human_0, kitting_table_0)",425
s20_off,deliver_item,0,deliver_already_held,"holding('?agent', '?item')",1,place,['RELEASE'],ConditionSchema,grounded,"obj_at(item_4, kitting_table_0)",400
